Entity,Code,Year,"Deaths per 100,000 people - Drought (decadal)","Deaths per 100,000 people - Flood (decadal)","Deaths per 100,000 people - Earthquake (decadal)","Deaths per 100,000 people - Extreme weather (decadal)","Deaths per 100,000 people - Extreme temperature (decadal)","Deaths per 100,000 people - Volcanic activity (decadal)","Deaths per 100,000 people - Wildfire (decadal)","Deaths per 100,000 people - Glacial lake outburst flood (decadal)","Deaths per 100,000 people - Dry mass movement (decadal)","Deaths per 100,000 people - Wet mass movement (decadal)","Deaths per 100,000 people - Fog (decadal)"
Honduras,HND,2020,0,0.023181004,0,0.27392092,0,0,0,0,0,0,0
Hong Kong,HKG,2020,0,0,0,0.00533719,0,0,0,0,0,0,0
Hungary,HUN,2020,0,0,0,0,1.0293657,0,0,0,0,0,0
Iceland,ISL,2020,0,0,0,0,0,0,0,0,0,0,0
India,IND,2020,0,0.104601584,2.8417893e-05,0.006714769,0.00301271,0,0,0.006044138,0,0.004111081,0
Indonesia,IDN,2020,0,0.027126072,0.03468115,0.016583286,0,0.006844608,0,0,0,0.011116398,0
Iran,IRN,2020,0,0.033801254,0.002484561,0.00407535,0,0,0,0,0,0.00274945,0
Iraq,IRQ,2020,0,0.012399976,0,0.001768026,0,0,0,0,0,0,0
Ireland,IRL,2020,0,0,0,0.003981599,0.10352156,0,0,0,0,0,0
Isle of Man,IMN,2020,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,2020,0,0.015986321,0,0,0,0,0,0,0,0,0
Italy,ITA,2020,0,0.007793626,0,0.00811298,6.1012096,0,0,0.003726447,0,0.005413336,0
Jamaica,JAM,2020,0,0,0,0,0,0,0,0,0,0,0
Japan,JPN,2020,0,0.016316315,0.040111538,0.009665059,0.012908254,0,0,0,0,0.004172935,0
Jordan,JOR,2020,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,2020,0,0.004034664,0,0,0,0,0.014280876,0,0,0,0
Kenya,KEN,2020,0,0.19609074,0,0,0,0,0,0,0,0,0
Kiribati,KIR,2020,0,0,0,0,0,0,0,0,0,0,0
Kuwait,KWT,2020,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ,2020,0,0,0,0,0,0,0,0,0,0.0459577,0
Laos,LAO,2020,0,0.020995755,0,0.005464931,0,0,0,0,0,0,0
Latvia,LVA,2020,0,0,0,0,1.134734,0,0,0,0,0,0
Lebanon,LBN,2020,0,0,0,0,0,0,0,0,0,0,0
Lesotho,LSO,2020,0,0,0,0.017164996,0,0,0,0,0,0,0
Liberia,LBR,2020,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY,2020,0,0,0,35.86322,0,0,0,0,0,0,0
Lithuania,LTU,2020,0,0,0,0,2.7708507,0,0,0,0,0,0
Low-income countries,,2020,0.06870244,0.1923137,0.25622264,0.05357264,0.005428123,0.000915879,8.820171e-05,0,0,0.005538874,0
Lower-middle-income countries,,2020,0,0.08489068,0.033733185,0.017582046,0.001372675,5.9352337e-06,0.001194721,0.002486937,0,0.00561802,0
Luxembourg,LUX,2020,0,0,0,0,1.3588614,0,0,0,0,0,0
Macao,MAC,2020,0,0,0,0,0,0,0,0,0,0,0
Madagascar,MDG,2020,0,0.051999032,0,0.19287835,0,0,0,0,0,0,0
Malawi,MWI,2020,0,0.06687061,0,1.2378447,0,0,0,0,0,0,0
Malaysia,MYS,2020,0,0.06051233,0,0,0,0,0,0,0,0.019447103,0
Maldives,MDV,2020,0,0,0,0,0,0,0,0,0,0,0
Mali,MLI,2020,0,0.008852066,0,0,0,0,0,0,0,0,0
Malta,MLT,2020,0,0,0,0,2.8502154,0,0,0,0,0,0
Marshall Islands,MHL,2020,0,0,0,0,0,0,0,0,0,0,0
Martinique,MTQ,2020,0,0,0,0,0,0,0,0,0,0,0
Mauritania,MRT,2020,0,0.1032449,0,0,0,0,0,0,0,0,0
Mauritius,MUS,2020,0,0,0,0.061491143,0,0,0,0,0,0,0
Mexico,MEX,2020,0,0.013249178,0.002845152,0.034817897,0,0,0,0,0,0,0
Micronesia (country),FSM,2020,0,0,0,0,0,0,0,0,0,0,0
Moldova,MDA,2020,0,0,0,0.023283327,0,0,0,0,0,0,0
Mongolia,MNG,2020,0,0.083917715,0,0.11771832,0.011603765,0,0,0,0,0,0
Montenegro,MNE,2020,0,0,0,0,1.5946878,0,0,0,0,0,0
Montserrat,MSR,2020,0,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,2020,0,0.012946175,1.5570803,0,0,0,0,0,0,0,0
Mozambique,MOZ,2020,0,0.09121095,0,0.18574041,0,0,0,0,0,0,0
Myanmar,MMR,2020,0,0.00366448,0,0.05716589,0,0,0,0,0,0.07943171,0
Namibia,NAM,2020,0,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,2020,0,0.59198064,0.104262985,0.013749041,0,0,0,0,0,0.014403757,0
Netherlands,NLD,2020,0,0,0,0.00568995,0.99290496,0,0,0,0,0,0
Netherlands Antilles,ANT,2020,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,NCL,2020,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,2020,0,0.015301923,0,0.04597913,0,0,0,0,0,0,0
Nicaragua,NIC,2020,0,0,0,0.07359932,0,0,0,0,0,0,0
Niger,NER,2020,0,0.29627547,0,0,0,0,0,0,0,0,0
Nigeria,NGA,2020,0,0.0982785,0,0.00072789,0,0,0,0,0,0,0
Niue,NIU,2020,0,0,0,0,0,0,0,0,0,0,0
North America,,2020,0.014221701,0.01697839,0.08721827,0.06673409,0.035828315,0,0.005946444,0,0,0.004260335,0
North Korea,PRK,2020,0,0.017009778,0,0,0,0,0,0,0,0,0
North Macedonia,MKD,2020,0,0,0,0,0,0,0.009508736,0,0,0,0
Northern Mariana Islands,MNP,2020,0,0,0,0,0,0,0,0,0,0,0
Norway,NOR,2020,0,0,0,0,0.11040932,0,0,0,0,0.037175853,0
Oceania,,2020,0,0.027322922,0.008787788,0.040991835,0,0.001776244,0.005007539,0,0,0.020446552,0
Oman,OMN,2020,0,0.042907525,0,0.0884863,0,0,0,0,0,0,0
Pakistan,PAK,2020,0,0.24225058,0.006376612,0.014171615,0.001829631,0,0.000339235,0,0,0.002323286,0
Palau,PLW,2020,0,0,0,0,0,0,0,0,0,0,0
Palestine,PSE,2020,0,0,0,0,0.027191479,0,0,0,0,0,0
Panama,PAN,2020,0,0.055825982,0,0.38655072,0,0,0,0,0,0,0
Papua New Guinea,PNG,2020,0,0.038975794,0.03880161,0,0,0,0,0,0,0.09092496,0
Paraguay,PRY,2020,0,0.047322635,0,0,0,0,0,0,0,0,0
Peru,PER,2020,0,0.07912946,0.000582196,0.004657564,0,0.001174757,0,0,0,0.037004936,0
Philippines,PHL,2020,0,0.02561421,0.004295267,0.23009646,0,0.000178267,0,0,0,0.027835634,0
Poland,POL,2020,0,0,0,0.007162243,0.38286737,0,0,0,0,0,0
Portugal,PRT,2020,0,0,0,0,4.307333,0,0.005841772,0,0,0,0
Puerto Rico,PRI,2020,0,0,0.02445309,0.15984534,0,0,0,0,0,0,0
Qatar,QAT,2020,0,0,0,0,0,0,0,0,0,0,0
Reunion,REU,2020,0,0,0,0.080860846,0,0,0,0,0,0,0
Romania,ROU,2020,0,0.004120834,0,0.002010777,2.4975495,0,0,0,0,0,0
Russia,RUS,2020,0,0.001240871,0,0.00290615,0,0,0.005118962,0,0,0.000827,0
Rwanda,RWA,2020,0,0.39685357,0,0,0,0,0,0,0,0,0
Saint Barthelemy,BLM,2020,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,SHN,2020,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,KNA,2020,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,LCA,2020,0,0,0,0.11131953,0,0,0,0,0,0,0
Saint Martin (French part),MAF,2020,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,VCT,2020,0,0,0,0,0,0,0,0,0,0,0
Samoa,WSM,2020,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,STP,2020,0,0.7171093,0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2020,0,0.001666801,0,0,0,0,0,0,0,0,0
Senegal,SEN,2020,0,0.013385154,0,0,0,0,0,0,0,0,0
Serbia,SRB,2020,0,0.005595131,0,0.002797565,1.5897272,0,0,0,0,0,0
Serbia and Montenegro,OWID_SRM,2020,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,2020,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SLE,2020,0,0.027888417,0,0.034125455,0,0,0,0,0,0,0
Sint Maarten (Dutch part),SXM,2020,0,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,2020,0,0.007336559,0,0,1.2935338,0,0,0,0,0,0
Slovenia,SVN,2020,0,0,0,0.018879822,1.4529378,0,0,0,0,0,0
Solomon Islands,SLB,2020,0,0,0,1.3888929,0,0,0,0,0,0,0
Somalia,SOM,2020,0,0.24988432,0,0.010884671,0,0,0,0,0,0,0
South Africa,ZAF,2020,0,0.23058029,0,0.027917791,0,0,0,0,0,0,0
South America,,2020,0.000276917,0.07252917,0.00072804,0.005122758,0,9.1571594e-05,0.022252658,0,0,0.017791675,0
South Korea,KOR,2020,0,0.047864385,0,0.01659149,0.000771965,0,0.000386219,0,0,0,0
South Sudan,SSD,2020,0,0.013025343,0,0,0,0,0,0,0,0,0
Spain,ESP,2020,0,0.002526142,0,0.010969064,4.7621217,0.000421169,0,0,0,0,0
Sri Lanka,LKA,2020,0,0.050490726,0,0.014653903,0,0,0,0,0,0,0
Sudan,SDN,2020,0,0.15482906,0,0,0,0,0,0,0,0,0
Suriname,SUR,2020,0,0,0,0,0,0,0,0,0,0,0
Sweden,SWE,2020,0,0,0,0.001928832,0.075834066,0,0,0,0,0,0
Switzerland,CHE,2020,0,0,0,0.018104307,0.69103825,0,0,0,0,0.043666262,0
Syria,SYR,2020,0,0.000937894,5.080292,0.00180789,0,0,0.00288842,0,0,0,0
Taiwan,TWN,2020,0,0,0.051776048,0.018435672,0,0,0,0,0,0,0
Tajikistan,TJK,2020,0,0.059955962,0.010256329,0,0,0,0,0,0,0.024615187,0
United Republic of Tanzania,TZA,2020,0,0.032430433,0,0,0,0,0,0,0,0.032732885,0
Thailand,THA,2020,0,0.019556195,0,0.004754155,0,0,0,0,0,0,0
Togo,TGO,2020,0,0.026058376,0,0,0,0,0,0,0,0,0
Tokelau,TKL,2020,0,0,0,0,0,0,0,0,0,0,0
Tonga,TON,2020,0,0,0,0,0,0.74859405,0,0,0,0,0
Trinidad and Tobago,TTO,2020,0,0,0,0,0,0,0,0,0,0,0
Tunisia,TUN,2020,0,0.016378444,0,0,0,0,0,0,0,0,0
Turkey,TUR,2020,0,0.032241203,11.876856,0.005835718,0,0,0.002123257,0,0,0.009746191,0
Turkmenistan,TKM,2020,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,TCA,2020,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,TUV,2020,0,0,0,0,0,0,0,0,0,0,0
USSR,OWID_USS,2020,0,0,0,0,0,0,0,0,0,0,0
Uganda,UGA,2020,1.0433954,0.0479374,0,0.00360323,0,0,0,0,0,0.008042398,0
Ukraine,UKR,2020,0,0.001366442,0,0.006991004,0,0,0.00728769,0,0,0,0
United Arab Emirates,ARE,2020,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,GBR,2020,0,0,0,0.002671289,1.7900242,0,0,0,0,0,0
United States of America,USA,2020,0.025249034,0.006749486,0.000118242,0.071504116,0.015002379,0,0.010320486,0,0,0,0
United States Virgin Islands,VIR,2020,0,0,0,0,0,0,0,0,0,0,0
Upper-middle-income countries,,2020,4.7127287e-05,0.032643072,0.40424246,0.10539815,0.017690541,0.000783709,0.000775415,0,0,0.006767743,0
Uruguay,URY,2020,0,0,0,0.011685294,0,0,0,0,0,0,0
Uzbekistan,UZB,2020,0,0.005274026,0,0,0,0,0,0,0,0.004694636,0
Vanuatu,VUT,2020,0,0,0,0.1924965,0,0,0,0,0,0,0
Venezuela,VEN,2020,0,0.0663726,0,0,0,0,0,0,0,0.07702717,0
Vietnam,VNM,2020,0,0.016925568,0,0.07269699,0,0,0,0,0,0,0
Wallis and Futuna,WLF,2020,0,0,0,0,0,0,0,0,0,0,0
West Germany,OWID_GFR,2020,0,0,0,0,0,0,0,0,0,0,0
World,OWID_WRL,2020,0.007266819,0.066325516,0.16753048,0.050241496,0.17559144,0.000337755,0.002463909,0.001102247,0,0.005289897,0
Yemen,YEM,2020,0,0.35042888,0,0.004063882,0,0,0,0,0,0,0
Yemen Arab Republic,OWID_YAR,2020,0,0,0,0,0,0,0,0,0,0,0
Yemen People's Republic,OWID_YPR,2020,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,OWID_YGS,2020,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,2020,0,0.006167307,0,0,0,0,0,0,0,0,0
Zimbabwe,ZWE,2020,0,0,0,0.0061517,0,0,0,0,0,0,0
